client_code,degree,betweenness,Dealer_Name
co0001,950,7301,Other not listed (see event note)
cl1538,738,3399,"Barrois, Louis-François, [fils] aîné"
cp0136,838,2772,"Guillaume, Charles, fils"
cp0112,794,2123,"Froullé, Jacques"
cp0265,648,2016,"Saugrain, Claude-Marin, jeune"
cl2338,906,1316,"Nyon, Jean-Luc, ainé"
cp0167,134,779,"Lacloye, Louis-Jean"
cl1572,208,561,"Crapart, Nicolas, pere"
cp0243,976,504.5,"Prévost, ainé"
cp0181,434,445,"Le Clerc, Laurent-François"
cp0207,466,420,"Méquignon, Nicolas-Toussaint, l'aine [aine, p"
cp0041,672,383,Colombier
cl1647,346,366,"Le Jay, Edme-Jean (pere)"
cp0211,674,324,"Mérigot, François-Gabriel, pere"
cp0261,386,295,"Samson, Jean-Jacques"
cl1633,524,252,"Lamy, Pierre-Michel"
cl1743,278,247,"Vissé, Pierre-Lucien"
cp0108,546,200,Fournier
cp0019,790,199,"Bleuet, Claude, pere"
cl1672,98,158,"Monory, François Hubert"
cp0021,74,148,"Boudet, Antoine-Chrétien"
cl2297,650,143,"Belin, François"
cp0026,322,105,"Brocas, Paul Denis"
cp0134,216,97,Guillaume
cp0142,602,96.5,Hardouin
cp0154,282,94,"Humaire, Pierre"
cp0082,346,69,Didot
cp0244,1112,57,"Prévost, Antoine, jeune"
cp0213,798,14,"Mérigot, Jean-Gabriel, fils jeune"
cp0129,96,9,"Grangé, veuve"
cl2718,370,0,"Durand, Pierre-Etienne-Germain, (Durand neveu"
cp0005,240,0,"Bailly, Guillaume-Luc"
cp0017,246,0,"Berton, Charles-Pierre"
cp0024,78,0,"Briasson, Antoine-Claude"
cp0039,144,0,"Cheron, Mademoiselle"
cp0045,314,0,"Couturier, Pierre-Denis, fils"
cp0057,120,0,"Debure, Guillaume fils aîné"
cp0066,352,0,"Delalain, Nicolas-Augustin, l'aîné"
cp0069,144,0,"Delormel, Pierre-Nicolas"
cp0077,338,0,"Despilly, Jean-Baptiste, pere"
cp0080,222,0,"Dessain, junior"
cp0084,482,0,"Didot, Pierre-François, jeune"
cp0118,120,0,"Gibert, Jean-Baptiste, aîné"
cp0119,206,0,"Gibert, jeune"
cp0124,730,0,"Gogué, Jean-Baptiste"
cp0156,526,0,"Humblot, Denis"
cp0165,550,0,"Knapen, André-François, pere"
cp0179,702,0,"Le Clerc, Charles-Guillaume, fils, (ainé ?)"
cp0202,144,0,"Marchenoir, François"
cp0217,144,0,"Moreau, Nicolas-François"
cp0220,186,0,"Musier, Jean-Francois, pere"
cp0232,196,0,"Pissot, Noël-Jacques, pere"
cp0236,78,0,"Prault, Laurent-François, pere"
cp0249,144,0,"Rapenot, Edme"
cp0284,288,0,"Valleyre, Nicolas-François, fils jeune"
cl2522,174,0,"Laporte, Antoine-Louis-Guillaume-Catherine"
cp0013,782,0,"Barrois, Pierre-Théophile, jeune"
cp0043,408,0,Couturier
cp0048,162,0,Cressonnier
cp0065,298,0,"Delalain, Louis-Alexandre, le jeune"
cp0110,466,0,"Fournier, Antoine, l'ainé"
cp0131,176,0,"Gueffier, Pierre-François, fils"
